Column1,ID,Field_Of_Study,Primary_Hobby,Secondary_Hobby,Gender,Desired_Career_Field,Country_Of_Origin,combined_text,Recommendations
0,100001,AI,Photography,Writing,Female,AI Ethics Specialist,USA,AI Ethics Specialist AI Photography Writing,"['Deep Learning Applications', 'Special Topics in Electrical and Computer Engineering', 'Writing about Performance', 'AIPI Seminar', 'Legal, Societal, and Ethical Implications of AI']"
1,100002,Biomedical Engineering,Dance,Drawing,Male,Biomedical Research,Canada,Biomedical Research Biomedical Engineering Dance Drawing,"['Modeling Cellular and Molecular Systems', 'Biomedical Aspects of Blast and Ballistics (GE, BB)', 'Signal Processing and Applied Mathematics', 'Invention to Application: Healthcare Research Commercialization', 'Advanced Dance Composition']"
2,100003,Civil Engineering,Wood Working,Hiking,Female,Structural Engineer,UK,Structural Engineer Civil Engineering Wood Working Hiking,"['Physical Chemical Processes in Environmental Engineering', 'Architectural Engineering I', 'Environmental Transport Phenomena', 'Environmental Analytical Chemistry', 'Applied Biological Principles and Processes in Environmental Engineering']"
3,100004,Climate and Sustainability Engineering,Hiking,Gardening,Male,Renewable Energy Engineer,Australia,Renewable Energy Engineer Climate and Sustainability Engineering Hiking Gardening,"['Climate Tech Startups and Investors', 'Global Change Biology: From Molecules to Organisms', 'Tropical Ecology', 'Deep-Sea Science and Environmental Management', 'Designing Customer Experiences in Technology']"
4,100005,Computational Mechanics and Scientific Computing,Mountain Biking,Photography,Female,High-Performance Computing Specialist,Germany,High-Performance Computing Specialist Computational Mechanics and Scientific Computing Mountain Biking Photography,"['History of Computing, Cryptography, and Robotic Devices', 'Graph Analysis with Matrix Computation', 'Writing about Performance', 'Design and Analysis of Algorithms', 'Introduction to Computer Vision']"
5,100006,Cybersecurity,Web Design,Video Gaming,Male,Cybersecurity Analyst,France,Cybersecurity Analyst Cybersecurity Web Design Video Gaming,"['Introduction to Cyber Policy', 'Introduction to Cybersecurity Perspectives', 'Security Incident Detection, Response, and Resilience', 'Applying Machine Learning to Advance Cybersecurity','Cybersecurity Program Development, Operations & Analysis' ]"
6,100007,Design and Technology Innovation,Drawing,Digital Art,Female,Product Design Engineer,Japan,Product Design Engineer Design and Technology Innovation Drawing Digital Art,"['Special Topics in Electrical and Computer Engineering', 'Advanced Topics in Design and Technology Innovation', Product Management in High-Tech Companies', 'Product Development', 'Writing about Performance']"
7,100008,Electrical and Computer Engineering,Video Gaming,Computer Programming,Male,Software Development,South Korea,Software Development Electrical and Computer Engineering Video Gaming Computer Programming,"['Critical Analysis of Video Games', Programming and Problem Solving', 'Introduction to Algorithms', 'Graph Analysis with Matrix Computation', 'Design and Analysis of Algorithms']"
8,100009,Environmental Engineering,Gardening,Hiking,Female,Environmental Engineer,Brazil,Environmental Engineer Environmental Engineering Gardening Hiking,"['Marine Protected Area Monitoring and Management', 'Functional Ecology of Plants', 'Climate Tech Startups and Investors', 'Environmental Justice: Theory and Practice for Environmental Scientists and Policy Professionals', 'Deep-Sea Science and Environmental Management']"
11,100012,Climate and Sustainability Engineering,Hunting,Entrepreneurship,Non-Binary,Cybersecurity Analyst,Russia,Cybersecurity Analyst Climate and Sustainability Engineering Hunting Entrepreneurship,"['Design and Analysis of Algorithms', 'Climate Tech Startups and Investors', 'Introduction to Cyber Policy', 'Security Incident Detection, Response, and Resilience', 'Applying Machine Learning to Advance Cybersecurity']"
